Bad Frankenhausen (Kyffh),275
Bornitz (b Zeitz),795
Brackwede Süd,812
Brefeld,843
Buchen (Odenw),930
Buchen (Odenw) Ost,931
Donndorf (Unstrut),1266
Elbingerode (Harz),1543
Elpersheim,1559
Emleben,1582
Eschwege West,1679
Flensburg Weiche,1811
Genshagener Heide,2063
Genzien,2069
Georgenthal (Thür),2072
Gunzen,2423
Heidefeld,2627
Hoppenwalde,2903
Hordorf,2908
Karow (Meckl),3115
Kiekebusch (b Cottbus),3173
Laudenbach (b Kleinheubach),3577
Leipzig-Großzschocher,3638
Mannheim Rbf,3926
Mannheim Rbf,3926
Meyenburg,4093
Michaelstein,4094
Mierendorf,4101
Minsleben,4121
Mirow,4122
Pforzheim-Brötzingen,4923
Porz-Gremberghoven,5000
Rathenow Nord,5132
Rosenwinkel,5349
Roßleben,5359
Rostock Hinrichsdorfer Straße,5366
Rostock Seehafen Nord,5370
Rostock-Toitenwinkel,5374
Rot am See,5376
Saarbrücken Messebahnhof,5452
Schöningen,5668
Thießen,6199
Trebbichau,6241
Werder (b Neuruppin),6682
