Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)

Achterwehr,7225,7

Ahrensburg-Gartenholz,8169,5

Ahrensfelde,28,4

Aken (Elbe),38,6

Albersdorf,41,7

Albersweiler (Pfalz),42,6

Aldingen,7960,6

Aletshausen,52,7

Allensbach,60,4

Allermöhe,7979,4

Allermöhe (S-Bahn),7979,4

Alt Schwerin,72,6

Alt-Reinickendorf,7719,6

Altbach,73,3

Altenbamberg,84,6

Altenbeken,85,2

Altenstadt (Hess),109,6

Altruppin,129,6

Altstädten (Allgäu),131,6

Amorbach,138,6

Amorbach,138,6

Amstetten (Württ),141,5

Amstetten (Württ),141,5

Annweiler am Trifels,158,5

Annweiler-Sarnstall,8242,7

Arenshausen,172,6

Arfurt (Lahn),173,6

Arzberg (Oberfr),186,6

Aschaffenburg Hbf,187,2

Auehütte,208,7

Auerbach (b Mosbach),209,6

Augsburg Messe,7996,5

AW Paderborn,7581,6

Babenhausen Langstadt,3564,7

Bad Belzig,478,5

Bad Breisig,259,5

Bad Fallingbostel,1760,5

Bad Frankenhausen (Kyffh),275,4

Bad Homburg,284,3

Bad Honnef (Rhein),285,5

Bad Kötzting,3390,6

Bad Kreuznach,296,3

Bad Lauchstädt,299,6

Bad Lauchstädt West,300,6

Bad Mergentheim,305,6

Bad Münder (Deister),306,5

Bad Oeynhausen Süd,316,6

Bad Oldesloe,317,2

Bad Salzdetfurth,328,7

Bad Salzdetfurth-Solebad,8064,7

Bad Schwartau,343,5

Bad Wimpfen,364,6

Bagenz,373,6

Bahnsdorf,374,6

Balingen Süd,386,6

Bärenklau,405,7

Baruth (Mark),421,6

Beeskow,456,6

Bellevue,475,4

Bennungen,486,6

Bergen auf Rügen,499,3

Beringstedt,521,7

Berka (Wipper),522,7

Berlin Potsdamer Platz,5016,2

Berlin-Gesundbrunnen,528,1

Berlin-Pankow,555,5

Berlin-Rummelsburg,556,4

Berlin-Tegel,7721,5

Berliner Tor (S-Bahn),569,3

