Bahnhof,evaNummer,Bahnhofs­kategorie 2015

Aachen Hbf,8000001,2

Aachen Schanz,8070704,5

Aachen West,8000404,5

Aachen West,8000404,5

Aachen-Rothe Erde,8000406,4

Aachen-Rothe Erde,8000406,4

Aalen,8000002,2

Abensberg,8000410,6

Achern,8000412,4

Achim,8000413,4

Achmer,8000414,6

Adelsdorf (Mittelfr),8000420,6

Adelsheim Nord,8000423,6

Adelsheim Ost,8000424,6

Adorf (Vogtl),8010001,6

Affaltrach,8000431,6

Agatharied,8000433,6

Agathenburg,8000434,6

Aglasterhausen,8007445,7

Aha,8000436,6

Ahaus,8000437,6

AhrbrÃ¼ck,8001209,6

Ahrensburg,8000446,4

Ahrensburg-Gartenholz,8000480,5

Ahrensfelde,8011003,4

Ahrensfelde Friedhof,8011004,6

Ahrensfelde Nord,8011005,6

Ahrweiler,8000448,6

Ahrweiler Markt,8000449,6

Aichach,8000452,5

Aichstetten,8000454,6

Albachten,8000462,6

Albbruck,8000463,6

Albersdorf,8000464,7

Albersweiler (Pfalz),8000466,6

Albig,8000468,6

Albrechtshof,8080040,5

Albshausen,8000471,6

Albsheim,8070096,7

Albsheim (Eis),8070096,7

Albstadt Ebingen West,8079089,6

Albstadt-Ebingen,8000473,5

Albstadt-Laufen Ort,8000474,6

Albstadt-Lautlingen,8000475,6

Aldekerk,8000477,6

Aldingen,8000481,6

Aletshausen,8000482,7

Alexanderplatz,8011155,3

Alfter-Impekoven,8000495,6

Alfter-Witterschlick,8006516,6

Algermissen,8000488,6

Alheim-Heinebach,8002716,6

Aligse,8000489,6

Allee-Center Leipzig,8013070,6

Allendorf (Dillkr),8000492,7

Allensbach,8000496,4

AllermÃ¶he,8000779,4

AllermÃ¶he (S-Bahn),8000779,4

Alpirsbach,8000501,6

Alsenz,8000505,6

Alsfeld (Oberhess),8000350,5

Alsheim,8000506,5

Alt HÃ¼ttendorf,8011011,6

Alt Rosenthal,8011014,6

Alt-Reinickendorf,8089103,6

Altbach,8000508,3

AltdÃ¶bern,8011016,6

Alte WÃ¶hr (S-Bahn),8000512,4

AltefÃ¤hr,8011017,6

Altena (Westf),8000513,5

Altenahr,8000514,6

Altenau (Bay),8000515,7

Altenbach,8011018,6

Altenbamberg,8000517,6

Altenbeken,8000004,2

Altenberg (Erzgeb),8011019,5

Altenberge,8000518,6

Altenfeld (RhÃ¶n),8000525,7

Altenglan,8000491,6

AltengÃ¶rs,8000526,7

Altenhundem,8000532,4

Altenkirchen (Westerw),8000351,6

Altenseelbach,8000537,7

Altenstadt (Hess),8000538,6

Altenstadt (Iller),8000539,6

Altenstadt (Waldnaab),8000540,6

Altenstadt-HÃ¶chst,8002886,6

Altersbach,8011028,7

Altes Lager,8011968,7

Altes Lager,8011968,7

AltglashÃ¼tten-Falkau,8000544,6

Altglienicke,8089054,4

Althegnenberg,8000545,5

Altheim (Hess),8000546,6

Althof,8011031,7

Altmittweida,8011033,6

Altmorschen,8000553,6

Altshausen,8000559,6

AltstÃ¤dten (AllgÃ¤u),8000561,6

Alttann,8000562,7

Alzey,8000007,3

Alzey SÃ¼d,8000558,6

Amberg,8000566,5

AmelsbÃ¼ren,8000569,6

Ammern,8011029,7

Amstetten (WÃ¼rtt),8000577,5

Amstetten (WÃ¼rtt),8000577,5

Amtshainersdorf,8011039,7

Andernach,8000331,3

Anderten-Misburg,8000578,5

Angermund,8000579,5

AngermÃ¼nde,8010004,3

Angern-RogÃ¤tz,8011042,6

Angersbach,8000580,6

Angersdorf,8011043,6

Annweiler am Trifels,8000582,5

Annweiler-Sarnstall,8005257,7

Anrath,8000584,5

Ansbach,8000009,3

Anwanden,8000588,6

Anzefahr,8000589,6

Apolda,8011051,4

AppelhÃ¼lsen,8000595,4

Appenweier,8000596,4

Appenweier,8000596,4

Ardey,8000597,7

Arensdorf (b KÃ¶then),8011053,6

Arenshausen,8011054,6

Arfurt (Lahn),8000599,6

Arloff,8000601,6

Armsheim,8000602,5

Arnbach,8000603,7

Arnstadt Hbf,8010007,4

Arnstadt SÃ¼d,8011055,6

Arsbeck,8000611,7

Artern,8012440,6

Arzberg (Oberfr),8000613,6

Aschaffenburg Hbf,8000010,2

Aschaffenburg Hochschule,8000618,6

Aschaffenburg SÃ¼d,8000619,6

Aschau (Chiemgau),8000621,6

Ascheberg (Holst),8000011,5

Ashausen,8000627,6

Asperg,8000630,4

Asselheim,8000625,7

Asselheim,8000625,7

Assenheim (Oberhess),8000632,6

AÃŸlar,8000633,6

AÃŸling (Oberbay),8000634,5

Assmannshausen,8000635,5

Attendorn,8000638,6

Attendorn Hohen-Hagen,8087039,7

Au (Sieg),8000012,3

Aue-Wingeshausen,8000647,7

AuehÃ¼tte,8011057,7

Auerbach (b Mosbach),8000649,6

Auerbach (Vogtl) Hp,8011059,7

Auerbach (Vogtl) ob Bf,8010011,7

Auerbach (Vogtl) unt Bf,8010012,7

Auersmacher,8000651,5

Auerstedt,8011060,7

Aufhausen (b Erding),8000653,6

Augsburg Hbf,8000013,2

Augsburg Messe,8000659,5

Augsburg MorellstraÃŸe,8000660,6

Augsburg-Hochzoll,8000661,3

Augsburg-Hochzoll,8000661,3

Augsburg-Oberhausen,8000662,4

Augustfehn,8000664,5

Aukrug,8003078,7

Aulendorf,8000014,4

Aumenau,8000668,6

Auringen-Medenbach,8000671,6

AuÃŸenried,8000672,7

Auw an der Kyll,8000674,6

Aying,8000675,6

Baalberge,8010013,6

Baar-Ebenhausen,8000678,6

Babelsberg,8080070,5

Babenhausen (Hess),8000015,5

Babenhausen Langstadt,8003559,7

Bachfeld,8011065,7

Bachheim,8000686,7

Backnang,8000016,3

Bad Abbach,8000689,6

Bad Aibling,8000690,5

Bad Aibling Kurpark,8000696,6

Bad Bellingen,8000864,6

Bad Belzig,8010031,5

Bad Bentheim,8000879,4

Bad Bergzabern,8000691,6

Bad Berleburg,8000907,6

Bad Bevensen,8000935,5

Bad Blankenburg (ThÃ¼ringerw),8010014,6

Bad Bodendorf,8001049,6

Bad Bodenteich,8001052,7

Bad Brambach,8011068,6

Bad Breisig,8000694,5

Bad Camberg,8001322,5

Bad Doberan,8010016,5

Bad Driburg (Westf),8000697,6

Bad DÃ¼rkheim-Trift,8000708,6

