Aachen Hbf,8000001,2
Aachen-Rothe Erde,8000406,4
Aachen-Rothe Erde,8000406,4
Aalen,8000002,2
Achern,8000412,4
Achim,8000413,4
Ahlen (Westf),8000441,4
Ahrensburg,8000446,4
Ahrensfelde,8011003,4
Alexanderplatz,8011155,3
Alexanderplatz,8011155,3
Alfeld (Leine),8000483,4
Allensbach,8000496,4
Allermöhe,8000779,4
Allermöhe (S-Bahn),8000779,4
Altbach,8000508,3
Alte Wöhr (S-Bahn),8000512,4
Altenbeken,8000004,2
Altenhundem,8000532,4
Altglienicke,8089054,4
Alzey,8000007,3
Andernach,8000331,3
Angermünde,8010004,3
Ansbach,8000009,3
Apolda,8011051,4
Appelhülsen,8000595,4
Appenweier,8000596,4
Appenweier,8000596,4
Arnsberg (Westf),8000605,4
Arnstadt Hbf,8010007,4
Aschaffenburg Hbf,8000010,2
Aschersleben Pbf,8010009,4
Asperg,8000630,4
Au (Sieg),8000012,3
Augsburg Haunstetterstraße,8000658,3
Augsburg Hbf,8000013,2
Augsburg-Hochzoll,8000661,3
Augsburg-Hochzoll,8000661,3
Augsburg-Oberhausen,8000662,4
Aulendorf,8000014,4
Aumühle,8000669,4
Aumühle,8000669,4
Aumühle,8000669,4
Bacharach,8000683,4
Backnang,8000016,3
Bad Bentheim,8000879,4
Bad Dürkheim,8000698,4
Bad Endorf (Oberbay),8001787,4
Bad Friedrichshall Hbf,8000017,3
Bad Harzburg,8000019,3
Bad Hersfeld,8000020,3
Bad Homburg,8000712,3
Bad Hönningen,8000711,4
Bad Kleinen,8010018,4
Bad Kreuznach,8000021,3
Bad Krozingen,8000718,4
Bad Langensalza,8010020,4
Bad Münster am Stein,8000726,4
Bad Nauheim,8000728,4
Bad Oeynhausen,8000732,3
Bad Oldesloe,8000023,2
Bad Rappenau,8000736,4
Bad Schandau,8010022,3
Bad Schönborn Süd,8003533,4
Bad Vilbel,8000760,3
Baden-Baden,8000774,3
Bahrenfeld (S-Bahn),8000780,4
Balingen (Württ),8000353,4
Bamberg,8000025,2
Bargteheide,8000804,4
Barmbek (S-Bahn),8000805,4
Baumschulenweg,8089004,4
Bautzen,8010026,4
Bayreuth Hbf,8000028,3
Bebra,8000029,3
Bellevue,8089005,4
Bensheim,8000031,4
Bergen auf Rügen,8010033,3
Bergfelde (b Berlin),8080100,4
Berlin Anhalter Bahnhof,8089002,3
Berlin Brandenburger Tor,8089044,4
Berlin Frankfurter Allee,8089013,4
Berlin Hauptbahnhof,8011160,1
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1
Berlin Hauptbahnhof–Lehrter Bahnhof,8011160,1
Berlin Ostbahnhof,8010255,1
Berlin Potsdamer Platz,8011118,2
Berlin Südkreuz,8011113,1
Berlin Zoologischer Garten,8010406,2
Berlin-Adlershof,8089052,4
Berlin-Blankenburg,8089056,4
Berlin-Buch,8089057,4
Berlin-Charlottenburg,8010403,3
Berlin-Friedrichshagen,8089060,4
Berlin-Friedrichstraße,8011306,2
Berlin-Friedrichstraße,8011306,2
Berlin-Frohnau,8089061,4
Berlin-Gesundbrunnen,8011102,1
Berlin-Gesundbrunnen,8011102,1
Berlin-Gesundbrunnen,8011102,1
Berlin-Grünau,8089063,4
Berlin-Grunewald,8089062,4
Berlin-Halensee,8089109,4
Berlin-Hermsdorf,8089064,4
Berlin-Hohenschönhausen,8011901,4
Berlin-Hohenschönhausen,8011901,4
Berlin-Karlshorst,8010035,3
Berlin-Karow,8011046,4
Berlin-Kaulsdorf,8089068,4
Berlin-Köpenick,8089069,4
Berlin-Lichtenberg,8010036,2
Berlin-Lichterfelde Ost,8011041,3
Berlin-Lichterfelde West,8089071,4
Berlin-Mahlsdorf,8011343,4
Berlin-Marzahn,8089075,4
Berlin-Neukölln,8089077,4
Berlin-Nordbahnhof,8089024,4
Berlin-Rummelsburg,8089084,4
Berlin-Rummelsburg,8089084,4
Berlin-Rummelsburg,8089084,4
Berlin-Schlachtensee,8089085,4
