Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
1;Aachen Hbf;KA;NVR;2;2;Nordrhein-Westfalen;West;17,27;14,31;17,14
7205;Aachen Schanz;KASZ;NVR;5;4;Nordrhein-Westfalen;West;3,54;1,89;46,61
3;Aachen West;KAW P;NVR;5;4;Nordrhein-Westfalen;West;3,54;1,89;46,61
3;Aachen West;KAW;NVR;5;4;Nordrhein-Westfalen;West;3,54;1,89;46,61
2;Aachen-Rothe Erde;KAREP;NVR;4;4;Nordrhein-Westfalen;West;3,73;1,89;49,33
2;Aachen-Rothe Erde;KARE;NVR;4;4;Nordrhein-Westfalen;West;3,73;1,89;49,33
4;Aalen;TA;NVBW;2;3;Baden-Württemberg;Südwest;15,85;6,87;56,66
5;Abensberg;MABG;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
6;Achern;RAH;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
7;Achim;HACH;LNVG;4;5;Niedersachsen;Nord;5,93;2,75;53,63
8;Achmer;HAMR;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
7225;Achterwehr;;LVS;7;;Schleswig-Holstein;;2,26;;
11;Adelebsen;HADB;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
12;Adelschlag;MAD;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
13;Adelsdorf (Mittelfr);NADM;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
14;Adelsheim Nord;RADN;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
15;Adelsheim Ost;TAD;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
17;Adorf (Vogtl);DAD;ZVV;6;6;Sachsen;Südost;4,03;2,37;41,19
18;Affaltrach;;NVBW;6;;Baden-Württemberg;;2,93;;
19;Agatharied;MAGD;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
20;Agathenburg;AABG;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
8168;Aglasterhausen;;NVBW;7;;Baden-Württemberg;;2,33;;
21;Aha;RA;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
22;Ahaus;EAHS;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
23;Ahlen (Westf);EAHL;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
24;Ahlhorn;HAHO;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
25;Ahlten (Han);HALT;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
908;Ahrbrück;KBRU;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
27;Ahrensburg;AAHR;LVS;4;3;Schleswig-Holstein;Nord;4,35;8,1;–86,21
8169;Ahrensburg-Gartenholz;;LVS;5;;Schleswig-Holstein;;4,66;;
28;Ahrensfelde;BAHR;VBB Berlin;4;4;Berlin;Ost;2,25;1,96;12,89
29;Ahrensfelde Friedhof;BAFR;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
30;Ahrensfelde Nord;BAFN;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
31;Ahrweiler;KAH;ZVRP Nord;6;5;Rheinland-Pfalz;Mitte;2,2;1,73;21,36
32;Ahrweiler Markt;KAHM;ZVRP Nord;6;5;Rheinland-Pfalz;Mitte;2,2;1,73;21,36
34;Aichach;MAI;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
35;Aichstetten;TAI;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
36;Ainring;MAIN;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
38;Aken (Elbe);LAK;BEG;6;6;Sachsen-Anhalt;Südost;3,34;1,97;41,02
39;Albachten;EABT;NWL;6;5;Nordrhein-Westfalen;West;4,1;2,83;30,98
40;Albbruck;RAL;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
