Aachen Hbf,8000001,2,Aachen
Aachen Schanz,8070704,5,Aachen
Aachen West,8000404,5,Aachen
Aachen West,8000404,5,Aachen
Aachen-Rothe Erde,8000406,4,Aachen
Aachen-Rothe Erde,8000406,4,Aachen
Aalen,8000002,2,Aalen
Abensberg,8000410,6,Abensberg
Achern,8000412,4,Achern
Achim,8000413,4,Achim
Achmer,8000414,6,Bramsche-Achmer
Achterwehr,8000416,7,Achterwehr
Adelebsen,8000418,6,Adelebsen
Adelschlag,8000419,6,Adelschlag
Adelsdorf (Mittelfr),8000420,6,Neuhof a.d.Zenn
Adelsheim Nord,8000423,6,Osterburken
Adelsheim Ost,8000424,6,Adelsheim
Adorf (Vogtl),8010001,6,Adorf
Affaltrach,8000431,6,Obersulm
Agatharied,8000433,6,Hausham
Agathenburg,8000434,6,Agathenburg
Aglasterhausen,8007445,7,Aglasterhausen
Aha,8000436,6,Schluchsee
Ahaus,8000437,6,Ahaus
Ahlen (Westf),8000441,4,Ahlen 
Ahlhorn,8000442,6,Ahlhorn
Ahlten (Han),8000443,5,Lehrte
Ahrbrück,8001209,6,Ahrbrück
Ahrensburg,8000446,4,Ahrensburg
Ahrensburg-Gartenholz,8000480,5,Ahrensburg
Ahrensfelde,8011003,4,Berlin
Ahrensfelde Friedhof,8011004,6,Ahrensfelde
Ahrensfelde Nord,8011005,6,Ahrensfelde 
Ahrweiler,8000448,6,Bad Neuenahr-Ahrweiler
Ahrweiler Markt,8000449,6,Bad Neuenahr-Ahrweiler
Aichach,8000452,5,Aichach
Aichstetten,8000454,6,Aichstetten
Ainring,8000459,6,Ainring
Albachten,8000462,6,Münster-Albachten
Albbruck,8000463,6,Albbruck
Albersdorf,8000464,7,Albersdorf
Albersweiler (Pfalz),8000466,6,Albersweiler
Albig,8000468,6,Albig
Albrechtshof,8080040,5,Berlin
Albshausen,8000471,6,Solms
Albsheim,8070096,7,Obrigheim
Albsheim (Eis),8070096,7,Obrigheim
Albstadt Ebingen West,8079089,6,Albstadt
Albstadt-Ebingen,8000473,5,Albstadt
Albstadt-Laufen Ort,8000474,6,Albstadt
Albstadt-Lautlingen,8000475,6,Albstadt
Aldekerk,8000477,6,Kerken
Aldingen,8000481,6,Aldingen
Aletshausen,8000482,7,Aletshausen
Alexanderplatz,8011155,3,Berlin
Alexanderplatz,8011155,3,Berlin
Alfeld (Leine),8000483,4,Alfeld 
Alfter-Impekoven,8000495,6,Alfter
Alfter-Witterschlick,8006516,6,Alfter
Algermissen,8000488,6,Algermissen
Alheim-Heinebach,8002716,6,Alheim
Aligse,8000489,6,Lehrte
Allee-Center Leipzig,8013070,6,Leipzig
Allendorf (Dillkr),8000492,7,Haiger
Allensbach,8000496,4,Allensbach
Allermöhe,8000779,4,Hamburg
Allermöhe (S-Bahn),8000779,4,Hamburg
Allersberg (Rothsee),8000498,6,Allersberg
Allmendingen,8000499,6,Allmendingen
Alpen,8000500,7,Alpen
Alpirsbach,8000501,6,Alpirsbach
Alsenz,8000505,6,Alsenz
Alsfeld (Oberhess),8000350,5,Alsfeld
Alsheim,8000506,5,Alsheim
Alt Hüttendorf,8011011,6,Althüttendorf
Alt Rosenthal,8011014,6,Vierlinden
Alt-Reinickendorf,8089103,6,Berlin
Altbach,8000508,3,Altbach
Altdöbern,8011016,6,Luckaitztal
Altdorf (b Nürnberg),8000509,6,Altdorf (b. Nürnberg)
Altdorf West (b Nürnberg),8000504,6,Altdorf (b. Nürnberg)
Alte Veste,8000511,6,Fürth
Alte Wöhr (S-Bahn),8000512,4,Hamburg
Altefähr,8011017,6,Altefähr
Altena (Westf),8000513,5,Altena
Altenahr,8000514,6,Altenahr
Altenau (Bay),8000515,7,Saulgrub
Altenbach,8011018,6,Bennewitz
