Aachen Hbf,8000001,2,Aachen
Aachen-Rothe Erde,8000406,4,Aachen
Aachen-Rothe Erde,8000406,4,Aachen
Aalen,8000002,2,Aalen
Achern,8000412,4,Achern
Achim,8000413,4,Achim
Ahlen (Westf),8000441,4,Ahlen 
Ahrensburg,8000446,4,Ahrensburg
Ahrensfelde,8011003,4,Berlin
Alexanderplatz,8011155,3,Berlin
Alexanderplatz,8011155,3,Berlin
Alfeld (Leine),8000483,4,Alfeld 
Allensbach,8000496,4,Allensbach
Allermöhe,8000779,4,Hamburg
Allermöhe (S-Bahn),8000779,4,Hamburg
Altbach,8000508,3,Altbach
Alte Wöhr (S-Bahn),8000512,4,Hamburg
Altenbeken,8000004,2,Altenbeken
Altenhundem,8000532,4,Lennestadt
Altglienicke,8089054,4,Berlin
Alzey,8000007,3,Alzey
Andernach,8000331,3,Andernach
Angermünde,8010004,3,Angermünde
Ansbach,8000009,3,Ansbach
Apolda,8011051,4,Apolda
Appelhülsen,8000595,4,Nottuln-Appelhülsen
Appenweier,8000596,4,Appenweier
Appenweier,8000596,4,Appenweier
Arnsberg (Westf),8000605,4,Arnsberg
Arnstadt Hbf,8010007,4,Arnstadt
Aschaffenburg Hbf,8000010,2,Aschaffenburg
Aschersleben Pbf,8010009,4,Aschersleben
Asperg,8000630,4,Asperg
Au (Sieg),8000012,3,Windeck
Augsburg Haunstetterstraße,8000658,3,Augsburg
Augsburg Hbf,8000013,2,Augsburg
Augsburg-Hochzoll,8000661,3,Augsburg
Augsburg-Hochzoll,8000661,3,Augsburg
Augsburg-Oberhausen,8000662,4,Augsburg
Aulendorf,8000014,4,Aulendorf
Aumühle,8000669,4,Aumühle
Aumühle,8000669,4,Aumühle
Aumühle,8000669,4,Aumühle
Bacharach,8000683,4,Bacharach
Backnang,8000016,3,Backnang
Bad Bentheim,8000879,4,Bad Bentheim
Bad Dürkheim,8000698,4,Bad Dürkheim
Bad Endorf (Oberbay),8001787,4,Bad Endorf 
Bad Friedrichshall Hbf,8000017,3,Bad Friedrichshall
Bad Harzburg,8000019,3,Bad Harzburg
Bad Hersfeld,8000020,3,Bad Hersfeld
Bad Homburg,8000712,3,Bad Homburg
Bad Hönningen,8000711,4,Bad Hönningen
Bad Kleinen,8010018,4,Bad Kleinen
Bad Kreuznach,8000021,3,Bad Kreuznach
Bad Krozingen,8000718,4,Bad Krozingen
Bad Langensalza,8010020,4,Bad Langensalza
Bad Münster am Stein,8000726,4,Bad Münster am Stein
Bad Nauheim,8000728,4,Bad Nauheim
Bad Oeynhausen,8000732,3,Bad Oeynhausen
Bad Oldesloe,8000023,2,Bad Oldesloe
Bad Rappenau,8000736,4,Bad Rappenau
Bad Schandau,8010022,3,Bad Schandau
Bad Schönborn Süd,8003533,4,Bad Schönborn
Bad Vilbel,8000760,3,Bad Vilbel
Baden-Baden,8000774,3,Baden-Baden
Bahrenfeld (S-Bahn),8000780,4,Hamburg
Balingen (Württ),8000353,4,Balingen 
Bamberg,8000025,2,Bamberg
Bargteheide,8000804,4,Bargteheide
Barmbek (S-Bahn),8000805,4,Hamburg
Baumschulenweg,8089004,4,Berlin
Bautzen,8010026,4,Bautzen
Bayreuth Hbf,8000028,3,Bayreuth
Bebra,8000029,3,Bebra
Bellevue,8089005,4,Berlin
Bensheim,8000031,4,Bensheim
Bergen auf Rügen,8010033,3,Bergen (Rügen)
