Aachen Hbf,2,Aachen,"{'type': 'Point', 'coordinates': [6.091499, 50.7678]}"
Aachen Schanz,5,Aachen,"{'type': 'Point', 'coordinates': [6.07384, 50.769862]}"
Aachen West,5,Aachen,"{'type': 'Point', 'coordinates': [6.070715, 50.78036]}"
Aachen West,5,Aachen,"{'type': 'Point', 'coordinates': [6.070715, 50.78036]}"
Aachen-Rothe Erde,4,Aachen,"{'type': 'Point', 'coordinates': [6.116475, 50.770202]}"
Aachen-Rothe Erde,4,Aachen,"{'type': 'Point', 'coordinates': [6.116475, 50.770202]}"
Aalen,2,Aalen,"{'type': 'Point', 'coordinates': [10.096271, 48.841013]}"
Abensberg,6,Abensberg,"{'type': 'Point', 'coordinates': [11.84662, 48.819456]}"
Achern,4,Achern,"{'type': 'Point', 'coordinates': [8.065324, 48.63399]}"
Achim,4,Achim,"{'type': 'Point', 'coordinates': [9.030447, 53.01599]}"
Achmer,6,Bramsche-Achmer,"{'type': 'Point', 'coordinates': [7.94216, 52.390479]}"
Achterwehr,7,Achterwehr,"{'type': 'Point', 'coordinates': [9.964024, 54.314913]}"
Adelebsen,6,Adelebsen,"{'type': 'Point', 'coordinates': [9.760044, 51.57769]}"
Adelschlag,6,Adelschlag,"{'type': 'Point', 'coordinates': [11.211443, 48.840759]}"
Adelsdorf (Mittelfr),6,Neuhof a.d.Zenn,"{'type': 'Point', 'coordinates': [10.687041, 49.474944]}"
Adelsheim Nord,6,Osterburken,"{'type': 'Point', 'coordinates': [9.392754, 49.42149]}"
Adelsheim Ost,6,Adelsheim,"{'type': 'Point', 'coordinates': [9.395127, 49.403123]}"
Adorf (Vogtl),6,Adorf,"{'type': 'Point', 'coordinates': [12.2606778, 50.3243953]}"
Affaltrach,6,Obersulm,"{'type': 'Point', 'coordinates': [9.379012, 49.137832]}"
Agatharied,6,Hausham,"{'type': 'Point', 'coordinates': [11.824472, 47.765606]}"
Agathenburg,6,Agathenburg,"{'type': 'Point', 'coordinates': [9.531244, 53.564111]}"
Aglasterhausen,7,Aglasterhausen,"{'type': 'Point', 'coordinates': [8.990838, 49.350097]}"
Aha,6,Schluchsee,"{'type': 'Point', 'coordinates': [8.134349, 47.833224]}"
Ahaus,6,Ahaus,"{'type': 'Point', 'coordinates': [7.016453, 52.081681]}"
Ahlen (Westf),4,Ahlen ,"{'type': 'Point', 'coordinates': [7.895488, 51.761062]}"
Ahlhorn,6,Ahlhorn,"{'type': 'Point', 'coordinates': [8.209429, 52.899321]}"
Ahlten (Han),5,Lehrte,"{'type': 'Point', 'coordinates': [9.904613, 52.376062]}"
Ahrbrück,6,Ahrbrück,"{'type': 'Point', 'coordinates': [6.972391, 50.489679]}"
Ahrensburg,4,Ahrensburg,"{'type': 'Point', 'coordinates': [10.236206, 53.669171]}"
Ahrensburg-Gartenholz,5,Ahrensburg,"{'type': 'Point', 'coordinates': [10.251786, 53.688482]}"
Ahrensfelde,4,Berlin,"{'type': 'Point', 'coordinates': [13.565154, 52.571375]}"
Ahrensfelde Friedhof,6,Ahrensfelde,"{'type': 'Point', 'coordinates': [13.573316, 52.580882]}"
Ahrensfelde Nord,6,Ahrensfelde ,"{'type': 'Point', 'coordinates': [13.581985, 52.590685]}"
Ahrweiler,6,Bad Neuenahr-Ahrweiler,"{'type': 'Point', 'coordinates': [7.107071, 50.546544]}"
Ahrweiler Markt,6,Bad Neuenahr-Ahrweiler,"{'type': 'Point', 'coordinates': [7.094229, 50.544228]}"
Aichach,5,Aichach,"{'type': 'Point', 'coordinates': [11.122721, 48.461117]}"
Aichstetten,6,Aichstetten,"{'type': 'Point', 'coordinates': [10.07494, 47.887884]}"
Ainring,6,Ainring,"{'type': 'Point', 'coordinates': [12.964501, 47.815033]}"
Albachten,6,Münster-Albachten,"{'type': 'Point', 'coordinates': [7.528197, 51.914576]}"
Albbruck,6,Albbruck,"{'type': 'Point', 'coordinates': [8.131774, 47.592235]}"
Albersdorf,7,Albersdorf,"{'type': 'Point', 'coordinates': [9.292151, 54.14632]}"
